manufacturer,model,year,description,comfort,performance,fuel_efficiency,safety,technology
Cadillac,CT4,2022,Mixed reviews from users. Average comfort level. Performance is decent. Fuel efficiency is average. Excellent safety features. Technology is moderate.,7,7,7,8,7
Lotus,Evora,2020,Highly recommended by users. Average comfort level. Outstanding performance. Fuel efficiency is average. Safety could be improved. Advanced technology.,6,10,6,4,9
Bentley,Continental GT,2016,Mixed reviews from users. Comfortable ride. Performance is decent. Fuel efficiency is poor. Safety could be improved. Technology is moderate.,8,7,5,4,6
Mercedes-Benz,C-Class,2018,Mixed reviews from users. Comfortable ride. Outstanding performance. Fuel efficient. Safety is satisfactory. Advanced technology.,9,8,10,7,8
Nissan,Altima,2022,Mixed reviews from users. Comfort could be improved. Performance is decent. Fuel efficiency is average. Safety is satisfactory. Lacking in technology features.,4,6,6,7,5
Pagani,Huayra,2016,Mixed reviews from users. Comfortable ride. Performance lacks power. Fuel efficient. Safety could be improved. Advanced technology.,10,4,8,5,10
Jaguar,F-Pace,2021,Mixed reviews from users. Comfort could be improved. Performance lacks power. Fuel efficient. Safety could be improved. Lacking in technology features.,4,3,8,4,3
Chevrolet,Malibu,2015,Mixed reviews from users. Comfort could be improved. Performance is decent. Fuel efficiency is poor. Excellent safety features. Advanced technology.,5,6,3,10,9
Fiat,500,2017,Highly recommended by users. Comfort could be improved. Performance lacks power. Fuel efficiency is poor. Safety could be improved. Lacking in technology features.,4,3,3,4,4
Acura,TLX,2023,Highly recommended by users. Average comfort level. Performance is decent. Fuel efficient. Excellent safety features. Lacking in technology features.,6,6,8,8,4
Morgan,Plus 4,2015,Mixed reviews from users. Comfortable ride. Performance lacks power. Fuel efficiency is poor. Excellent safety features. Technology is moderate.,10,4,3,9,7
BAC,Mono,2016,Mixed reviews from users. Average comfort level. Outstanding performance. Fuel efficiency is poor. Excellent safety features. Technology is moderate.,7,10,5,8,7
Chevrolet,Impala,2018,Highly recommended by users. Comfort could be improved. Performance is decent. Fuel efficiency is average. Excellent safety features. Technology is moderate.,5,7,6,9,7
Acura,MDX,2023,Highly recommended by users. Comfortable ride. Performance is decent. Fuel efficiency is poor. Excellent safety features. Lacking in technology features.,10,7,4,10,4
Mini,Cooper,2022,Mixed reviews from users. Comfort could be improved. Performance lacks power. Fuel efficiency is average. Excellent safety features. Lacking in technology features.,3,4,6,8,4
